Name,PhD,Undergraduate,Subject,Date,Id
Alessandro Chiesa,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,2014,93
Leon Chua,University of Illinois - Urbana-Champaign,Mapua Institute of Technology,EECS,1964,94
Michael Clancy,unknown,University of Illinois - Urbana-Champaign,EECS,1971,95
Phillip Colella,unknown,unknown,EECS,0,96
Steven Conolly,Stanford University,Boston University,EECS,0,97
Thomas Courtade,UC Los Angeles,Michigan Technological University ,EECS,2012,98
David Culler,Massachusetts Institute of Technology,UC Berkeley,EECS,1989,99
Trevor Darrell,Massachusetts Institute of Technology,University of Pennsylvania,EECS,1996,100
James Demmel,UC Berkeley,California Institute of Technology,EECS,1983,101
John Denero,UC Berkeley,unknown,EECS,2010,102
Anca Dragon,Carnegie Mellon University,Jacobs University Bremen,EECS,2015,103
Prabal Dutta,UC Berkeley,unknown,EECS,2009,104
Alexei Efros,UC Berkeley,University of Utah,EECS,2003,105
Laurent El Ghaoui,Stanford University,Ecole Polytechnique,EECS,1990,106
Ronald Fearing,Stanford University,Massachusetts Institute of Technology,EECS,1988,107
Armando Fox,UC Berkeley,Massachusetts Institute of Technology,EECS,1998,108
Michael Franklin,University of Wisconsin - Madison,University of Massachusetts - Amherst,EECS,1993,109
Gerald Friedland,unknown,Freie Universitaet Berlin,EECS,2006,110
Robert Full,SUNY Buffalo,SUNY Buffalo,EECS,1984,111
Dan Garcia,UC Berkeley,Massachusetts Institute of Technology,EECS,2000,112
Sanjam Garg,UC Los Angeles,Indian Institute of Technology - Delhi,EECS,2013,113
Ali Ghodsi,KTH Royal Institute of Technology,unknown,EECS,2006,114
Ken Goldberg,Carnegie Mellon University,University of Pennsylvania ,EECS,1990,115
Joseph Gonzalez,Carnegie Mellon University,unknown,EECS,2012,116
Moritz Hardt,Princeton University,unknown,EECS,2011,117
Bj_rn Hartmann,Stanford University,University of Pennsylvania,EECS,2009,118
Marti Hearst,UC Berkeley,UC Berkeley,EECS,1994,119
Joseph Hellerstein,University of Wisconsin - Madison,Harvard University,EECS,0,120
Paul Hilfinger,unknown,unknown,EECS,0,121
Chenming Hu,UC Berkeley,National Taiwan University,EECS,1973,122
Joshua Hug,UC Berkeley,D_ambylskij Universitet,EECS,2011,123
Ali Javey,Stanford University,Old Dominion University,EECS,2005,124
Michael Jordan,UC San Diego,Louisiana State University,EECS,1985,125
Anthony Joseph,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,1998,126
Richard Karp,Harvard University,Harvard University,EECS,1959,127
Randy Katz,UC Berkeley,Cornell University,EECS,1980,128
